"","expType","compName","RawData","compConcentration"
"1","experiment","2,6-diisopropylnaphthalene",44,4.99
"2","experiment","2,6-diisopropylnaphthalene",37,4.99
"3","experiment","2,6-diisopropylnaphthalene",45,4.99
"4","experiment","2,6-diisopropylnaphthalene",47,4.99
"5","experiment","2,6-diisopropylnaphthalene",41,4.99
"6","experiment","2,6-diisopropylnaphthalene",35,4.99
"7","experiment","2,6-diisopropylnaphthalene",41,4.99
"8","experiment","2,6-diisopropylnaphthalene",36,4.99
"9","experiment","2,6-diisopropylnaphthalene",40,4.99
"10","experiment","2,6-diisopropylnaphthalene",38,4.99
"11","experiment","2,6-diisopropylnaphthalene",44,4.99
"12","experiment","2,6-diisopropylnaphthalene",48,4.99
"13","experiment","2,6-diisopropylnaphthalene",43,4.99
"14","experiment","2,6-diisopropylnaphthalene",50,4.99
"15","experiment","2,6-diisopropylnaphthalene",16,4.99
"16","experiment","2,6-diisopropylnaphthalene",48,0.499
"17","experiment","2,6-diisopropylnaphthalene",42,0.499
"18","experiment","2,6-diisopropylnaphthalene",41,0.499
"19","experiment","2,6-diisopropylnaphthalene",44,0.499
"20","experiment","2,6-diisopropylnaphthalene",40,0.499
"21","experiment","2,6-diisopropylnaphthalene",38,0.499
"22","experiment","2,6-diisopropylnaphthalene",41,0.499
"23","experiment","2,6-diisopropylnaphthalene",37,0.499
"24","experiment","2,6-diisopropylnaphthalene",43,0.499
"25","experiment","2,6-diisopropylnaphthalene",39,0.499
"26","experiment","2,6-diisopropylnaphthalene",34,0.499
"27","experiment","2,6-diisopropylnaphthalene",55,0.499
"28","experiment","2,6-diisopropylnaphthalene",50,0.499
"29","experiment","2,6-diisopropylnaphthalene",55,0.499
"30","experiment","2,6-diisopropylnaphthalene",42,0.499
"31","experiment","2,6-diisopropylnaphthalene",49,0.0499
"32","experiment","2,6-diisopropylnaphthalene",56,0.0499
"33","experiment","2,6-diisopropylnaphthalene",63,0.0499
"34","experiment","2,6-diisopropylnaphthalene",60,0.0499
"35","experiment","2,6-diisopropylnaphthalene",58,0.0499
"36","experiment","2,6-diisopropylnaphthalene",56,0.0499
"37","experiment","2,6-diisopropylnaphthalene",57,0.0499
"38","experiment","2,6-diisopropylnaphthalene",57,0.0499
"39","experiment","2,6-diisopropylnaphthalene",64,0.0499
