##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HU2_MOCK2_L001_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65915836
Sequences flagged as poor quality	0
Sequence length	50-151
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.962999847259766	37.0	37.0	37.0	37.0	37.0
2	36.15964597642363	37.0	37.0	37.0	37.0	37.0
3	36.19296721048945	37.0	37.0	37.0	37.0	37.0
4	36.24675774422401	37.0	37.0	37.0	37.0	37.0
5	36.248633302625485	37.0	37.0	37.0	37.0	37.0
6	36.256094529393515	37.0	37.0	37.0	37.0	37.0
7	36.251557197878824	37.0	37.0	37.0	37.0	37.0
8	36.24402218004183	37.0	37.0	37.0	37.0	37.0
9	36.20997225917001	37.0	37.0	37.0	37.0	37.0
10-14	36.23171714608914	37.0	37.0	37.0	37.0	37.0
15-19	36.19971252735079	37.0	37.0	37.0	37.0	37.0
20-24	36.16549245920207	37.0	37.0	37.0	37.0	37.0
25-29	36.13092563978101	37.0	37.0	37.0	37.0	37.0
30-34	36.10949444379345	37.0	37.0	37.0	37.0	37.0
35-39	36.08446215564952	37.0	37.0	37.0	37.0	37.0
40-44	36.04977547732232	37.0	37.0	37.0	37.0	37.0
45-49	36.03073200801094	37.0	37.0	37.0	37.0	37.0
50-54	35.99890228435934	37.0	37.0	37.0	37.0	37.0
55-59	35.97760053588414	37.0	37.0	37.0	37.0	37.0
60-64	35.95631391593605	37.0	37.0	37.0	37.0	37.0
65-69	35.93027961317007	37.0	37.0	37.0	37.0	37.0
70-74	35.90459259344278	37.0	37.0	37.0	37.0	37.0
75-79	35.86658500389325	37.0	37.0	37.0	37.0	37.0
80-84	35.84034432051458	37.0	37.0	37.0	37.0	37.0
85-89	35.79333849484095	37.0	37.0	37.0	37.0	37.0
90-94	35.79992190976825	37.0	37.0	37.0	37.0	37.0
95-99	35.71004608627013	37.0	37.0	37.0	37.0	37.0
100-104	35.726069589597174	37.0	37.0	37.0	37.0	37.0
105-109	35.69739317854349	37.0	37.0	37.0	37.0	37.0
110-114	35.63900716277856	37.0	37.0	37.0	37.0	37.0
115-119	35.602229671538915	37.0	37.0	37.0	37.0	37.0
120-124	35.48477508107998	37.0	37.0	37.0	37.0	37.0
125-129	35.493217376759674	37.0	37.0	37.0	37.0	37.0
130-134	35.42252754597828	37.0	37.0	37.0	37.0	37.0
135-139	35.35459753040932	37.0	37.0	37.0	37.0	37.0
140-144	35.23803632067502	37.0	37.0	37.0	29.8	37.0
145-149	35.18731701631831	37.0	37.0	37.0	29.8	37.0
150-151	34.86678541498969	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.008349660260321912
1101	2	0.03594347480217408
1101	3	0.004082489099474174
1101	4	0.08497797975120136
1101	5	0.031102247598255417
1101	6	0.06759407534408979
1101	7	0.05675654953102338
1101	8	0.03884715868089472
1101	9	0.04079080059813123
1101	10-14	0.014528255649672417
1101	15-19	0.049553699907392
1101	20-24	-0.004277423533956437
1101	25-29	0.06907553662423993
1101	30-34	0.06206541728390391
1101	35-39	0.04182456420014091
1101	40-44	0.04915728406427178
1101	45-49	0.08954966966892641
1101	50-54	0.04573177303073095
1101	55-59	-0.002718018860043969
1101	60-64	0.054857958882273294
1101	65-69	0.08244500436722291
1101	70-74	0.050443009333363875
1101	75-79	0.09709055720539084
1101	80-84	0.013347933185528404
1101	85-89	-0.006501249901234019
1101	90-94	0.039931700520149604
1101	95-99	-0.017624545594919994
1101	100-104	0.03796427956716286
1101	105-109	0.03579994083482774
1101	110-114	0.056794928594854355
1101	115-119	0.05366254429524986
1101	120-124	0.12402373146553458
1101	125-129	0.1650462008310427
1101	130-134	0.032918008253410846
1101	135-139	0.054692858642305
1101	140-144	0.08316853770150345
1101	145-149	0.16171701929698656
1101	150-151	0.256181093741624
1102	1	-0.026228905807464287
1102	2	0.034426018453523
1102	3	0.03559465402540951
1102	4	-0.0180747290035157
1102	5	0.07028792914130833
1102	6	0.05550107923997416
1102	7	0.0676882416274438
1102	8	0.03640793707200629
1102	9	0.001440116831297189
1102	10-14	0.044123417017836175
1102	15-19	0.027888739153794972
1102	20-24	0.04316706666737957
1102	25-29	0.03266944319408083
1102	30-34	0.07160112398361207
1102	35-39	0.07020644481975324
1102	40-44	0.025197879188944228
1102	45-49	0.036518944449248636
1102	50-54	0.037926907414217226
1102	55-59	0.035571958781169144
1102	60-64	0.03594425040524385
1102	65-69	0.05786875807226011
1102	70-74	0.026617304576454615
1102	75-79	0.03632541498617314
1102	80-84	-0.008722890573899633
1102	85-89	0.07294976921571816
1102	90-94	0.01908535803343625
1102	95-99	0.074293274430282
1102	100-104	0.08216488767742902
1102	105-109	0.09140861950318424
1102	110-114	0.02824697697234768
1102	115-119	0.10757450604113927
1102	120-124	0.09201766154278346
1102	125-129	0.08175778585766125
1102	130-134	0.009738318584901151
1102	135-139	0.04006837952139364
1102	140-144	0.10676426186482502
1102	145-149	0.18297309161675912
1102	150-151	0.17703834588940737
1103	1	0.07651970773550687
1103	2	0.17711382357783378
1103	3	0.12906713906161116
1103	4	0.08058778748892337
1103	5	0.1490299517700464
1103	6	0.13527430596110435
1103	7	0.14320014526721536
1103	8	0.10412398867413941
1103	9	0.1287011596342964
1103	10-14	0.13877496373837062
1103	15-19	0.10233017566898894
1103	20-24	0.12525595160142444
1103	25-29	0.12388720753897786
1103	30-34	0.1350469402356751
1103	35-39	0.15605337341179393
1103	40-44	0.0815787790032445
1103	45-49	0.13113760462059787
1103	50-54	0.16752114715090727
1103	55-59	0.1253140558277792
1103	60-64	0.11395601840563785
1103	65-69	0.1520716218639464
1103	70-74	0.10537682760851652
1103	75-79	0.1407009836746198
1103	80-84	0.05677165638439163
1103	85-89	0.13575187902519303
1103	90-94	0.12655827301744438
1103	95-99	0.10199905193041303
1103	100-104	0.10496652370641613
1103	105-109	0.15937816096560908
1103	110-114	0.13405473667871348
1103	115-119	0.17615724493050777
1103	120-124	0.2055106773965747
1103	125-129	0.22327549133240154
1103	130-134	0.15509949094600017
1103	135-139	0.17413153371744272
1103	140-144	0.14334039630075068
1103	145-149	0.32136227392160066
1103	150-151	0.33905723417802136
1104	1	0.04971403658492335
1104	2	0.02043370123233501
1104	3	0.015452411575068936
1104	4	0.07509660479257008
1104	5	0.04114990277022912
1104	6	0.0889100720778302
1104	7	0.04973348809045319
1104	8	0.06350218171451871
1104	9	0.07134741509311482
1104	10-14	0.058515735373191546
1104	15-19	0.06941157703552392
1104	20-24	0.0846387287470094
1104	25-29	0.06464863483632399
1104	30-34	0.07197719697247607
1104	35-39	0.046386404942744264
1104	40-44	0.0797708969962585
1104	45-49	0.0657022867625443
1104	50-54	0.07375876590821662
1104	55-59	0.004758476046085036
1104	60-64	0.07740490985020188
1104	65-69	0.06144428308991223
1104	70-74	0.07049852733595685
1104	75-79	0.07539139962926811
1104	80-84	0.009562825077225057
1104	85-89	0.04044626983552746
1104	90-94	0.11925823749145081
1104	95-99	0.02159685251566401
1104	100-104	0.011229278038989321
1104	105-109	0.07489330635234381
1104	110-114	0.06821007745096352
1104	115-119	0.11287214629166442
1104	120-124	0.12164947389873504
1104	125-129	0.10984144587582989
1104	130-134	-0.008748606633091072
1104	135-139	0.03150157291328526
1104	140-144	0.18490076655169219
1104	145-149	0.1544843276644201
1104	150-151	0.28201024892860715
1105	1	0.08067913258980042
1105	2	0.039529108953843206
1105	3	0.04735746218577219
1105	4	0.08528022269495494
1105	5	0.027168556494757468
1105	6	0.07908885853698422
1105	7	0.045375734753982044
1105	8	0.031243166548598822
1105	9	0.10371739295868565
1105	10-14	0.08571772004668077
1105	15-19	0.058999577051380925
1105	20-24	0.07620227988914507
1105	25-29	0.06513281222868983
1105	30-34	0.1001446447593608
1105	35-39	0.10536937046193628
1105	40-44	0.06265182442673733
1105	45-49	0.1193588858932415
1105	50-54	0.09075712050935891
1105	55-59	0.04932978677484101
1105	60-64	0.10363193712216656
1105	65-69	0.12106867932673993
1105	70-74	0.10133609809717115
1105	75-79	0.12023557941758156
1105	80-84	0.07310409810714447
1105	85-89	0.11820382443338673
1105	90-94	0.13455781618049656
1105	95-99	0.11058924564432715
1105	100-104	0.06957777162985934
1105	105-109	0.12197077598120387
1105	110-114	0.10986329398888728
1105	115-119	0.0547330918055593
1105	120-124	0.19047424420664782
1105	125-129	0.1690329715845138
1105	130-134	0.1023823382448441
1105	135-139	0.1910964939702069
1105	140-144	0.23148223187955352
1105	145-149	0.27824542546012765
1105	150-151	0.3453204561216694
1106	1	0.22812134764767222
1106	2	0.059494700093814856
1106	3	-0.04526638132774963
1106	4	0.12494999368145443
1106	5	0.09780755062129032
1106	6	0.13581857896777194
1106	7	0.047980201771260056
1106	8	0.1008084798861546
1106	9	0.07362816891928503
1106	10-14	0.08403014255839736
1106	15-19	0.05098742846983839
1106	20-24	0.05377484251508946
1106	25-29	0.0880552031226145
1106	30-34	0.0781271866209039
1106	35-39	0.05440402234355446
1106	40-44	0.07782060507594935
1106	45-49	0.06429777033390138
1106	50-54	0.08294343988935537
1106	55-59	0.055603090697879054
1106	60-64	0.08261893415750876
1106	65-69	0.11910384759851667
1106	70-74	0.0737404059864133
1106	75-79	0.08126820950221258
1106	80-84	0.06779660328358261
1106	85-89	0.14909474522260524
1106	90-94	0.12615331699215915
1106	95-99	0.08329693798917503
1106	100-104	0.10052501523068713
1106	105-109	0.12502175650849523
1106	110-114	0.17676041721134794
1106	115-119	0.18608313606479499
1106	120-124	0.20030174693135194
1106	125-129	0.18322750098383267
1106	130-134	0.14307082374393332
1106	135-139	0.1704689309542715
1106	140-144	0.17737922952018437
1106	145-149	0.279935452025299
1106	150-151	0.3215623831506136
1107	1	0.04973607913974121
1107	2	0.07092647967923682
1107	3	0.07783506449193567
1107	4	0.005866126589062048
1107	5	0.09161586894982321
1107	6	-0.029170088080782364
1107	7	0.09203620710905369
1107	8	-0.014364161957715282
1107	9	0.06860094054737687
1107	10-14	0.03273841231828811
1107	15-19	0.05841410188050844
1107	20-24	0.039449407512755386
1107	25-29	0.010924399329773848
1107	30-34	0.07799538402513662
1107	35-39	0.07891575152500252
1107	40-44	0.04305429390954174
1107	45-49	0.029985244075056983
1107	50-54	0.041415936439982204
1107	55-59	0.05507694512860439
1107	60-64	0.07668122982531855
1107	65-69	0.09873376234475018
1107	70-74	0.06298068777006449
1107	75-79	0.08363643957294187
1107	80-84	0.053719550326803756
1107	85-89	0.09507381604951348
1107	90-94	0.08574751344513487
1107	95-99	0.057792550232257156
1107	100-104	0.030504353760974823
1107	105-109	0.09644532161428998
1107	110-114	0.12122008873739532
1107	115-119	0.15176020026552806
1107	120-124	0.09972306443166445
1107	125-129	0.1475080331601859
1107	130-134	0.07581484227971913
1107	135-139	0.07653971781336821
1107	140-144	0.16333054262610602
1107	145-149	0.28240192604880576
1107	150-151	0.38116106117912096
1108	1	0.050835445427587445
1108	2	0.03991079486028326
1108	3	0.08722086134158502
1108	4	-0.043021052677836735
1108	5	-0.007608080320494537
1108	6	-0.026970519175939955
1108	7	-0.005455309551336995
1108	8	0.04091108523388698
1108	9	0.026013735867692844
1108	10-14	0.01200231396152418
1108	15-19	0.011347457853581489
1108	20-24	0.03060957098071526
1108	25-29	0.009275827302559492
1108	30-34	0.013018019389825497
1108	35-39	-0.023486768910871092
1108	40-44	0.016969812538278006
1108	45-49	0.026911149005854895
1108	50-54	-0.001001311351913614
1108	55-59	-0.04691565501880035
1108	60-64	0.009869364766338151
1108	65-69	0.015739819850701053
1108	70-74	0.04773645770440993
1108	75-79	-0.003779796474944419
1108	80-84	-0.04207236135476222
1108	85-89	0.035138986326934685
1108	90-94	0.0020997846306158863
1108	95-99	0.017121152875660073
1108	100-104	0.018728837476537308
1108	105-109	0.04303793697674507
1108	110-114	0.056480140395166245
1108	115-119	0.0215514220785451
1108	120-124	0.07818499176847382
1108	125-129	0.08986168166244113
1108	130-134	0.024599281150798902
1108	135-139	0.06607056766959829
1108	140-144	0.13629935952753414
1108	145-149	0.20938675735109058
1108	150-151	0.23960978017510826
1109	1	0.09525805008556176
1109	2	0.030717884644147375
1109	3	-0.010080036261740588
1109	4	-0.0058218564349843405
1109	5	0.03298350136063277
1109	6	-0.025451934510556384
1109	7	0.048031727396917745
1109	8	0.013997237243465577
1109	9	0.0585084611585458
1109	10-14	0.021968218944110163
1109	15-19	0.036942791738184155
1109	20-24	0.014101096673464042
1109	25-29	-0.02035279776715271
1109	30-34	0.028763745233057136
1109	35-39	0.03492918090986308
1109	40-44	0.04657581309604808
1109	45-49	0.030233439780424476
1109	50-54	0.007521086970882607
1109	55-59	-0.023041986705841566
1109	60-64	0.011033158511644103
1109	65-69	0.03325445562115448
1109	70-74	0.015535948011880407
1109	75-79	0.035425573660184284
1109	80-84	0.02383634019496128
1109	85-89	0.06353039085873746
1109	90-94	0.03439159811870951
1109	95-99	0.017440015260056896
1109	100-104	0.05149328078019266
1109	105-109	0.05819748636849198
1109	110-114	0.07054798054083022
1109	115-119	0.048505721538894875
1109	120-124	0.1269964150801357
1109	125-129	0.09575913539487857
1109	130-134	0.08414841626600378
1109	135-139	0.05364114249741192
1109	140-144	0.12760894098547482
1109	145-149	0.2277021821099794
1109	150-151	0.30408078681177386
1110	1	-0.021648178512094773
1110	2	0.014666230081886056
1110	3	0.059093641849337075
1110	4	0.04844621990028486
1110	5	0.06037195656653438
1110	6	0.017646067139580168
1110	7	-0.045309828700112575
1110	8	0.05861774233467543
1110	9	0.06243113155139213
1110	10-14	0.011432888424486976
1110	15-19	0.034316735575806945
1110	20-24	0.006047404893124053
1110	25-29	0.03419156192284589
1110	30-34	0.046286107164057455
1110	35-39	0.0434690218747491
1110	40-44	0.031894181112370745
1110	45-49	0.05487395575021026
1110	50-54	0.03776713011360755
1110	55-59	0.032676213555348
1110	60-64	0.08358923966437715
1110	65-69	0.0157608439992174
1110	70-74	0.026185506960949567
1110	75-79	0.11540730567884339
1110	80-84	0.0328314574098556
1110	85-89	0.06962449242118396
1110	90-94	0.1335084835103757
1110	95-99	0.10450127982456081
1110	100-104	0.060200550112689655
1110	105-109	0.10490565408460384
1110	110-114	0.08972833674452119
1110	115-119	0.08472483487102522
1110	120-124	0.15168304770870122
1110	125-129	0.1499258414537934
1110	130-134	0.0989157263615894
1110	135-139	0.12022094641953629
1110	140-144	0.1673309153074385
1110	145-149	0.2381378382660344
1110	150-151	0.3287044040345606
1111	1	0.08925794000556664
1111	2	0.07544941743499578
1111	3	0.046820634166714115
1111	4	0.05131088213504853
1111	5	0.071154960054713
1111	6	0.030274236709225022
1111	7	0.03496104019111357
1111	8	0.01535800043728841
1111	9	0.025094586896720728
1111	10-14	0.019858808613783197
1111	15-19	0.04006389727142334
1111	20-24	0.022348395236207352
1111	25-29	0.023330171459868154
1111	30-34	0.03705202843607225
1111	35-39	0.03183412326741575
1111	40-44	0.03015315240619998
1111	45-49	0.0353266181866303
1111	50-54	0.08444636156737317
1111	55-59	0.017134381975900226
1111	60-64	0.05605413789146496
1111	65-69	0.055624353598886955
1111	70-74	0.07226829333879436
1111	75-79	0.09959658680685379
1111	80-84	0.0537368026123346
1111	85-89	0.054651858480490034
1111	90-94	0.05965385138217982
1111	95-99	0.06002013496978975
1111	100-104	-0.0038779455011948016
1111	105-109	0.06465222338394483
1111	110-114	0.057006036233595125
1111	115-119	0.06849818793781992
1111	120-124	0.11704462550385841
1111	125-129	0.14751016388343174
1111	130-134	0.020826034993390863
1111	135-139	0.037782309362690114
1111	140-144	0.09508123973633786
1111	145-149	0.2352481631747807
1111	150-151	0.26275773178576856
1112	1	0.03518779883066969
1112	2	0.040774074612201616
1112	3	-4.095118080442717E-4
